时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-22 19:42:04,鼠鼠在辽宁的带砖上大一，逆天室友经常用半开玩笑的方式占我便宜，恶心我,消极,0.64812547,0.35187456,辽宁
2024-04-22 19:42:04,��🐭的热点要给三台手机加三台电脑用，🐭🐭真是太荣幸了捏,积极,0.12526135,0.87473863,辽宁
2024-04-22 19:42:04,"他鼠标坏了，滚轮回档，然后把我的拿去用了（我俩同款鼠标)我玩无畏契约都得用123换枪到这我都能忍受，离谱的是我的被他高强度用一个礼拜也坏了。然后，今天他说，我先不打游戏了，你鼠标想用就先用吧然后他就出去了，我把我的拿回来，打了吧无畏契约，结果切枪特怪，软件一测，也回档了。等他回来我问他我的也坏了，他说我不知道啊，我说你用没感觉到吗，他说感觉到了。
其实回档无所谓，弄点缝纫机油就行了但这小子真无敌了",消极,0.99210316,0.007896869,辽宁
2024-04-22 19:42:04,这位同学是体委，他没什么力度，宣布事的时候管不住别人，只要我随便做什么事情就会成为这位同学展示力度的目标，真的骂，次数一共是两次，当着全班面前这样，哇～你真是太棒了，好有实力啊,消极,0.78655034,0.21344963,辽宁
2024-04-22 19:42:04,"他玩原，没开玩笑，经常让我帮他肝，和他玩游戏只要不顺心就挨骂。
我平时说什么东西他就会说，夸你呗。他懂个xx这种",消极,0.9632478,0.036752254,辽宁
2024-04-22 19:42:04,突然跟他表白，吓死他,消极,0.9759093,0.024090681,江苏
2024-04-22 19:42:04,��️百就这样,积极,0.32724896,0.672751,吉林
2024-04-22 19:42:04,这不是拿你当受气包了😓 在这发有啥用 会人情世故就用办法孤立他 看描述打是打不过了 不行花点钱出去或者换宿舍 天天忍这个小心精神衰弱,消极,0.99854916,0.0014507653,江苏
2024-04-22 19:42:04,如果你是不想把寝室关系搞差，不好意思说。那你就直接告诉他，他的缺点，和以后再这样，就别找你借东西。（心平气和的说）如果你觉得他很烦，那你就阴阳他，懂阴阳这个意思吧？在生活中处处阴阳他，自然而然你就有了主动权。当然遇到nt的话，我的建议是孤立它，毕竟与nt打交到，不如打🦶。,消极,0.99850607,0.0014939294,贵州
2024-04-22 19:42:04,怂👃，骑你头上拉屎了还把他当人,消极,0.9634935,0.036506545,浙江
2024-04-22 19:42:04,你再不攻击他我可要攻击你了,消极,0.9767521,0.023247885,辽宁
2024-04-22 19:42:04,lz脾气也太好了吧建议lz有话直说,积极,0.26682314,0.7331769,辽宁
2024-04-22 19:42:04,lz建议你找导员换个宿舍,消极,0.90842676,0.09157324,辽宁
2024-04-22 19:42:04,3,中性,0.4756149,0.52438515,天津
2024-04-22 19:42:04,3,中性,0.4756149,0.52438515,天津
2024-04-22 19:42:04,纱布一个，自己不会张嘴那也别到网上说,消极,0.97327924,0.026720764,山东
2024-04-22 19:42:04,"变成室友的⭐😡了👉

好好笑
怎么可以这么好笑
笑死我了
",积极,0.27109855,0.72890145,广东
2024-04-22 19:42:04,"lz我要你女装照

好好笑
怎么可以这么好笑
笑死我了
",积极,0.18219692,0.8178031,广东
2024-04-22 19:42:04,速速化身撅撅子,消极,0.6428792,0.3571208,北京
2024-04-22 19:42:04,lz看下私信,消极,0.6974665,0.30253348,辽宁
2024-04-22 19:42:04,不会拒绝？,消极,0.9684967,0.031503323,广东
2024-04-22 19:42:04,说白了只是别人看不起你，觉得你好欺负，我因为穷也经常被人看不起，习惯就好,中性,0.46558756,0.53441244,广东
2024-04-22 19:42:04,把他们奶油泡芙。,消极,0.9264252,0.07357483,广东
2024-04-22 19:42:04,飞舞，建议你现在跪下给他磕一个大头，然后把自己琴木送给他，他边**边让你**,消极,0.96204686,0.03795309,河南
2024-04-22 19:42:04,打***一顿，让他知道什么是大小王,消极,0.86341584,0.13658412,广东
2024-04-22 19:42:04,要不然你骂他，要不然找导员,消极,0.964393,0.035606906,内蒙古
2024-04-22 19:42:04,人家都踩你头上拉屎了，还当受气包啊，,消极,0.95763755,0.04236241,江西
2024-04-22 19:42:04,这能忍？先跟他讲道理，说他不要怎样怎样影响你，讲不通就找个机会动手，打不过就润，换宿舍,消极,0.9832192,0.016780736,陕西
