Text,User ID,User Name,Nick Name New,IP Address
讲一句实话xxn就集体高朝了,164524197,Yurivi,匆⁣匆那年AAA,广东
"xxn真是一破防就开始攻击长相了捏
就算这女生长得一般，但就这三观比上面那些女的好一万倍
在全是乌鸦的世界，一只白天鹅存在本身就是错误的
一群乌鸦是容不下一只白天鹅的存在
属实是不如牵丝戏的东西
桃宝搜 牵丝戏
谨防假冒（主页有真假辨别贴）",1872886949,梅花雪落五更船,⁢张怀义,广东
人家全程没说一句女性，为什么她们？,6365188572,,火箭少女_哈登,广西
这女生长得也不丑呀，wb底下这些攻击人长相的敢晒自己的照片吗？,4142149089,柔情似水似小羊,赐予黄昏º,湖南
哄你俩句还就护上了,739320920,vvnn1_,给i她🍗,重庆
虎式坦克们闹麻了，自己什么体重心里没数还骂别人。别人怎么样也比它们更符合人类审美,2108078241,,贴吧用户_Qy8P9GQ,广东
beyond，看见光了就想把灯咬烂是吧，你是还是我是鼠鼠,5859489044,,海波不爱谢捏,广西
这些➗省还急眼了,3511970768,谁阐述你的梦,老年孙吧刽子手,湖南
快去找鼓！！！,4111529221,北笙川彦丶,贴吧用户_582QDAG,四川
"先不谈男女，就一句话，
这帮女的内讧是比谁都快呀",6334408652,qwe6677gggg,qwe6677gggg,广东
还是有正常女性的…要我说太过女泉的人反而是极度自卑的体现吧,5529145334,未来机关灬晨,打的去杜王町,
婚姻的本质不就是相互扶持着生活吗,4568996994,神代okita,沙利叶·欧西里斯,江西
只有女人对待女人是最恶毒的,2303232,暴力猫车,暴力猫车,河南
保护,5014842668,心路990,心路990,江苏
很显然xxn们害怕正常的年轻的00后抢了自己的利益,110842026,约翰2世,约翰2世,广东
现在的人观念到底怎么了。还是喜欢老一辈的互相扶持。现在就是选择多了 给能耐的 有感情的话物质条件再差也会想办法让彼此生活更好的,1306547272,黑喵MaOO,-8snjx,上海
girls help girl,883467752,飝響惪翥,张步兵,山东
这种我一般不看直接骂,2557469128,植wjfjjfmv,七代目活孔圣,吉林
这种女大学生能不能普及一下,1351280821,超越m自我,daminalin,吉林
老祖宗都知道门当户对，大部分被洗脑的女性只能说很难绷，这俩年不是出了新闻吗？把人家富哥的车喷漆，然后幻想富哥爱上她结果被富哥告法庭了,3246447967,哼哼哼的人之歌,昀-离,广东
乃万,1655532259,GS初心,四月一日君寻💫,安徽
祝99十八胎,4096697787,鲁班能阿,古手梨花酱,吉林
"和我一起打鼓击退啵刚恶魔嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁嘣嘣嘣
😎🥢
🥁",6374903947,loven_o,loven_o,福建
支持，有什么问题？两个人共同进步共同扶持，这不就是最好的？小仙女们急什么？,3258409848,蛋蛋我爱你么么,星星的莹莹,广东
xxn这个群体真是这个社会的毒瘤,2761715919,hd135640,hdi130º,上海
杜绝女舔狗 真给女人丢脸,1582759063,暴躁小可耐,贪吃鬼又胖了😘,天津
其实长相真的不是最主要的。,1328763923,桃汁夭夭01,贴吧用户_QRbJVSb,上海
网上女权都是口嗨吗？我现实没见到,785770462,听风无语hony,听风语丶,江苏
说好的ghg呢,762393352,小乐要坚强,Agon1,江西
玛德大早上就刷到💩了 晦气,5467672853,,猛虎纯臻丁一郎,广东
虽然 虽然什么虽然直接开骂,1469186070,偷吃月亮局,6nt,湖北
说好的ghg呢,180865629,丰鼎,丰鼎,广东
要么你就狠狠地攻击之后把你的战果搬过来，要么你就把原帖放出来让兄弟们冲，搬一堆💩过来你是屎壳郎吗？,3417499129,就是任性呗小号,就是任性呗小号,上海
👻男一样被男的骂，可能她就是女人眼中的👻男吧。不过我们男的可没说过 boy help boy，没她们这么矫情,2478093241,tianye2023,无惧、不弃,重庆
"对于共同进步的伙伴，我们应该示以尊重。对于来自地狱祸害人间的波刚，我们应该拿出鼓来，赶紧敲起来。
龙龙我来敲鼓了",5448391655,米线山我测你妈,🐮牛历险记,江苏
还是🐢男太多了给这群xxn惯出毛病来了,5030052360,,嘴笨号秋歌,四川
在一个扭曲的社会，三观正就是原罪,40857919,cloudfrog,cloudfrog,四川
说实话我现在对性格的要求比长相高得多，能谈得来才是第一,5932378601,名字真费劲无语,名字真费劲无语,河北
每当有人说正常女性更多，我就会把这个给他看,5461883244,Ya喵喵喵00,Ya喵喵喵,江苏
遇到这种我一般都直接砍,6335973678,炉观流司马懿,大晋开国皇帝司马懿,湖北
girls fack up girls,1811880153,NoobMapleLeaf,樱雨枫‭‭⁧喵⁧‭,广东
几千年来👩不能当家是有道理的 要相信古人的智慧,3384848704,酸性碱性,酸性碱性,辽宁
3,1244361545,z783821807,我有星病,山东
3,1244361545,z783821807,我有星病,山东
3,1244361545,z783821807,我有星病,山东
S3,1244361545,z783821807,我有星病,山东
3,1244361545,z783821807,我有星病,山东
一提到结婚就联想到生育，带娃，家庭主妇，谁在自我物化不好说,3478151098,JinkaQuraRlank,路人A🐶,上海
