时间,文本,识别结果,消极概率,积极概率
2024-04-21 22:53:55,鼠鼠在辽宁的带砖上大一，逆天室友经常用半开玩笑的方式占我便宜，恶心我,消极,0.64812547,0.35187456
2024-04-21 22:53:55,��🐭的热点要给三台手机加三台电脑用，🐭🐭真是太荣幸了捏,积极,0.12526135,0.87473863
2024-04-21 22:53:55,"他鼠标坏了，滚轮回档，然后把我的拿去用了（我俩同款鼠标)我玩无畏契约都得用123换枪到这我都能忍受，离谱的是我的被他高强度用一个礼拜也坏了。然后，今天他说，我先不打游戏了，你鼠标想用就先用吧然后他就出去了，我把我的拿回来，打了吧无畏契约，结果切枪特怪，软件一测，也回档了。等他回来我问他我的也坏了，他说我不知道啊，我说你用没感觉到吗，他说感觉到了。
其实回档无所谓，弄点缝纫机油就行了但这小子真无敌了",消极,0.99210316,0.007896869
2024-04-21 22:53:55,这位同学是体委，他没什么力度，宣布事的时候管不住别人，只要我随便做什么事情就会成为这位同学展示力度的目标，真的骂，次数一共是两次，当着全班面前这样，哇～你真是太棒了，好有实力啊,消极,0.78655034,0.21344963
2024-04-21 22:53:55,"他玩原，没开玩笑，经常让我帮他肝，和他玩游戏只要不顺心就挨骂。
我平时说什么东西他就会说，夸你呗。他懂个xx这种",消极,0.9632478,0.036752254
2024-04-21 22:53:55,突然跟他表白，吓死他,消极,0.9759093,0.024090681
2024-04-21 22:53:55,��️百就这样,积极,0.32724896,0.672751
2024-04-21 22:53:55,这不是拿你当受气包了😓 在这发有啥用 会人情世故就用办法孤立他 看描述打是打不过了 不行花点钱出去或者换宿舍 天天忍这个小心精神衰弱,消极,0.99854916,0.0014507653
2024-04-21 22:53:55,如果你是不想把寝室关系搞差，不好意思说。那你就直接告诉他，他的缺点，和以后再这样，就别找你借东西。（心平气和的说）如果你觉得他很烦，那你就阴阳他，懂阴阳这个意思吧？在生活中处处阴阳他，自然而然你就有了主动权。当然遇到nt的话，我的建议是孤立它，毕竟与nt打交到，不如打🦶。,消极,0.99850607,0.0014939294
2024-04-21 22:53:55,怂👃，骑你头上拉屎了还把他当人,消极,0.9634935,0.036506545
2024-04-21 22:53:55,你再不攻击他我可要攻击你了,消极,0.9767521,0.023247885
2024-04-21 22:53:55,lz脾气也太好了吧建议lz有话直说,积极,0.26682314,0.7331769
2024-04-21 22:53:55,lz建议你找导员换个宿舍,消极,0.90842676,0.09157324
2024-04-21 22:53:55,3,中性,0.4756149,0.52438515
2024-04-21 22:53:55,3,中性,0.4756149,0.52438515
2024-04-21 22:53:55,纱布一个，自己不会张嘴那也别到网上说,消极,0.97327924,0.026720764
2024-04-21 22:53:55,"变成室友的⭐😡了👉

好好笑
怎么可以这么好笑
笑死我了
",积极,0.27109855,0.72890145
2024-04-21 22:53:55,"lz我要你女装照

好好笑
怎么可以这么好笑
笑死我了
",积极,0.18219692,0.8178031
2024-04-21 22:53:55,速速化身撅撅子,消极,0.6428792,0.3571208
2024-04-21 22:53:55,lz看下私信,消极,0.6974665,0.30253348
2024-04-21 22:53:55,不会拒绝？,消极,0.9684967,0.031503323
2024-04-21 22:53:55,说白了只是别人看不起你，觉得你好欺负，我因为穷也经常被人看不起，习惯就好,中性,0.46558756,0.53441244
2024-04-21 22:53:55,把他们奶油泡芙。,消极,0.9264252,0.07357483
2024-04-21 22:53:55,飞舞，建议你现在跪下给他磕一个大头，然后把自己琴木送给他，他边**边让你**,消极,0.96204686,0.03795309
2024-04-21 22:53:55,打***一顿，让他知道什么是大小王,消极,0.86341584,0.13658412
2024-04-21 22:53:55,要不然你骂他，要不然找导员,消极,0.964393,0.035606906
2024-04-21 22:53:55,人家都踩你头上拉屎了，还当受气包啊，,消极,0.95763755,0.04236241
2024-04-21 22:53:55,这能忍？先跟他讲道理，说他不要怎样怎样影响你，讲不通就找个机会动手，打不过就润，换宿舍,消极,0.9832192,0.016780736
2024-04-21 22:53:55,"套麻袋一顿乱棍
我是变态母肥控",消极,0.9755492,0.024450794
2024-04-21 22:53:55,3,中性,0.4756149,0.52438515
2024-04-21 22:53:55,火钳刘明。,积极,0.39711085,0.6028891
2024-04-21 22:53:55,想和lz交朋友😭,消极,0.9166709,0.08332902
2024-04-21 22:53:55,你是卖流量卡的是吧？把流量卡推荐一下,消极,0.9516932,0.048306886
2024-04-21 22:53:55,打不过就发疯,消极,0.9004312,0.09956882
2024-04-21 22:53:55,把你当工具人,消极,0.95512676,0.044873253
2024-04-21 22:53:55,上专还要去辽？不是300上本？,消极,0.8963482,0.10365181
2024-04-21 22:53:55,我建议是换宿舍，这个宿舍人不好，再就是估计你性子有点懦弱，都抓着你欺负了,消极,0.9605712,0.039428793
2024-04-21 22:53:55,哥们你在辽阳那里啊，能帮个忙吗，有偿，（你这个问题，直接拒绝他们，大学不像高中一定要合群，班上找一俩个关系好的同学就行，最坏可以考虑换宿舍）,消极,0.93312263,0.06687741
2024-04-21 22:53:55,哪个大专，我也大专咱俩不会同一个吧,积极,0.042303063,0.9576969
2024-04-21 22:53:55,都骑到你头上了你都不张嘴，你把皮燕子送给他得了,消极,0.979955,0.020045001
2024-04-21 22:53:55,废雾,积极,0.3738396,0.6261605
2024-04-21 22:53:55,3,中性,0.4756149,0.52438515
2024-04-21 22:53:55,啊？怎么是这种占便宜？,消极,0.9754708,0.024529219
2024-04-21 22:53:55,不会拿凳子抡？抡完换宿舍,消极,0.9721051,0.027894843
2024-04-21 22:53:55,lz女装照呢,积极,0.06833078,0.93166924
2024-04-21 22:53:55,你在不攻击他为就要攻击你了,消极,0.9760578,0.023942146
2024-04-21 22:53:55,你不会让他√笔开吗，给他什么好脸色,消极,0.9782453,0.021754691
2024-04-21 22:53:55,哈哈 飞舞,积极,0.044222508,0.9557775
2024-04-21 22:53:55,我去打他,消极,0.69289714,0.30710283
2024-04-21 22:53:55,哥们看看女装照,积极,0.053296935,0.9467031
2024-04-21 22:53:55,棉花团就别上孙吧发贴了，8u们说破天也救不了你这个沸雾,消极,0.86816627,0.13183369
2024-04-21 22:53:55,"我觉得还好吧，你在辽宁就得入乡随俗，我们就是这样的，你有意见？
夜放纵
告知我难寻你芳踪
回头也是梦
仍似被动
逃避凝望你
却深印脑中",消极,0.9751304,0.024869569
2024-04-21 22:53:55,家人们对不起，🐭🐭就是这种性格，今天又被白嫖了ktv,积极,0.085789725,0.91421026
2024-04-21 22:53:55,这种人当初在我们宿舍都是打洗脚水的，怎么到你那成小霸王了,消极,0.97764856,0.022351466
2024-04-21 22:53:55,你家里供你的生活费不是用来当窝囊废的。,消极,0.9537847,0.046215247
2024-04-21 22:53:55,哪个辽宁大专,积极,0.111926384,0.88807356
2024-04-21 22:53:56,不是你为啥这样子啊，这些dinner就是看你好欺负,中性,0.45648324,0.54351676
2024-04-21 22:53:56,女装脾气还好，lz能做我室友吗别便宜这几个贵物了,积极,0.08772131,0.9122787
2024-04-21 22:53:56,你怎么这样子啊，看的我来气,消极,0.96627843,0.033721603
2024-04-21 22:53:56,什么握囊非抢劫速速v我50，不然啥了你,消极,0.9518184,0.04818157
2024-04-21 22:53:56,脑婆当我舍友吧我会好好对你的,积极,0.05856365,0.9414363
2024-04-21 22:53:56,脑婆为什么不理我了😭😭😭,消极,0.968752,0.03124796
2024-04-21 22:53:56,他让你干你就干了？,消极,0.9704014,0.02959859
2024-04-21 22:53:56,你能不能给他一刀,消极,0.97518075,0.024819247
2024-04-21 22:53:56,直接骂，那不然怎么办？不要想着给谁留面子，因为别人没把你当个人,消极,0.98154163,0.018458368
2024-04-21 22:53:56,飞舞受气包，活该你被欺负,积极,0.15970969,0.8402903
2024-04-21 22:53:56,多的不说 先发张女装照看看,消极,0.85569155,0.14430845
2024-04-21 22:53:56,女装镇楼（因为一些问题没化眼妆）,消极,0.80751765,0.19248231
2024-04-21 22:53:56,你在想什么，这种dinner别管他,消极,0.8888454,0.111154586
2024-04-21 22:53:56,?怂你牟 给我骂他们，欠他们一样,消极,0.96433294,0.035667084
2024-04-21 22:53:56,东北人,积极,0.19038653,0.8096134
