嗯嗯，好的想法，正好给大家省事了，望保持,6080824644,ya916a,阿鱼又被演了,黑龙江
又想经济依附，又想人格独立，美其名曰付出的精力和情绪价值，md我花多点钱找个🐔都比你能给的情绪价值好，为毛要让你这个寄生虫吸血,6352389443,开会vv开门,开会vv开门,广东
出来卖就直说,1045320122,Captainspin,PPT-仌,上海
肌是这样的,2621005610,北海高楼,北海高楼,江苏
少根东西说话就是硬气又不是我欠她的，要讨口子，去找她自己生物爹妈啊，让他们再用受精卵给她做一个不就好了,907112363,sky小瓶盖xx,粉红的小口耐🌝,浙江
把当j说的那么理直气壮？,2415649728,Zuehisdorff,我是一颗小坚果,广东
给她买🥁灰盒的时候我可以出全部钱,1576256145,,黑白熊w,安徽
大抵是喜欢上用B的糕潮不愿继续A了,5120099043,诸葛世黔,一念神魔👎,广东
有实力,6514211010,,贴吧用户_J7aPyJ7,上海
既要，又要,3437387463,wfaaa9,〈大声咆哮〉,广东
就A就A就A就A,1238697745,内裤大虾米,塔恩糊糊º,广西
卖批也有成本？,4394298494,,贴吧用户_a7ye15y,福建
一方面认为消费是应该的另一方面又拒绝为消费买单,6551845158,sjy34676979,sjy732912,吉林
不不不，女的应该给男的花钱，我支持女⭕，也认同♀比♂的强，妇女能顶半边天，我愿意让妇女顶整片天。,6591186694,Zsjsshh,缙云半次郎,浙江
当j确实来钱快 发点擦边拍个图包就恰大米了,670715490,悲催世界我手残,悲催世界-,天津
不是，如果是正常女性，会主动要求a的，你也不好意思去a。但你把他当g了，谁找几会和几a钱。,6557059537,,zi安,陕西
鉴定为欢乐豆扣多了隐水倒灌到脑子里了,6009274490,匡俊666,我爱玩袁慎,湖北
A不A看妹子胸怀，胸怀小的当然只能A了，胸怀大有格局的，男人负担一点没什么。当然，前提是这份胸怀必须为我敞开,74469854,xXxSeraph,月明孤影过℃,云南
哪来的烧坤，下面那张嘴没人填满无法满足就到处狂吠是吗？在这个男女平等都可以工作赚钱的年代，还能说出这种批话，大部分国家女性都同意AA到你这就变成大部分女性都反感了，当乞丐就好好当，女生付出时间精力，男生花钱不用付出时间精力？你不是鸡是什么？真想给你两耳光看看你还发不发电,6441192436,,具恋,广东
是的，在xxn的逻辑里她的一千等于两千,4143170510,MA1178440087,牛🐴吧,甘肃
确实挺不公平的，出生下面就长个atm机。搁那一躺就把钱挣了,5545316763,biliny岁月,蔡坤与鸡孰美,云南
"核心论点：我付出了时间、精力以及情绪价值比你多。
漏洞：这位女性的脑子像二极管，只能接受女性付出了这些，不承认男性也付出了这些所谓的价值。男性如果没付出你和谁谈恋爱呢，空气吗？",4526330459,,云霞生薜帷,山东
不AA那就只有AB了,2977488305,year殇痛520,柯基猫✨,浙江
下回卖的时候刚赛换成核桃，也算是补脑了,6396641373,ABCHHGHgo,昵称比女人还难取,安徽
+,6025701418,末日的未亡人,末日的未亡人,江西
确实是这样的，xxn两腿一开就可以赚超过我做牛做马干一个月的工资,6345331307,,贴吧用户_GD5Uab1,四川
不是一张🦵就来钱？职场的不公平要么靠自己，要么找老板，结果直接承认还想爆别人金币？合着当上讨口子你的地位才算高是吧,6486779414,胡仲豪是我,贴吧用户_JQtAK6M,上海
哈哈，学过因果论的都知道赚的多和花的多不成因果关系,6474571469,为撒518,yuiすごい,上海
不AA谈你🐴呢,5228199065,你人真的好嘞,JuiceKa,山东
是的，因为某些腿一张钱就来的职业者，你居然让它掏钱跟你谈恋爱，太不公平了！,19893553,448003654,風不觉,安徽
上联:十年教育，九年义务，得八丟七会6，五官不敌暮四朝三，竟考不上二本院校，一切双标，本身三观不正外加四体不勤五虚六耗，婚嫁七次，要求八十万彩礼钱来买她九色橡皮，十分荒唐下联:一生仰仗两片烂肉挑三拣四嫌五，六年攒下七块八毛，却还自称九天仙女，十人九慕，幻想八抬大轿进入七代世家喝六吆五，梦醒四顾，还在三百块的出租屋里接待着两根长短不一的客户横批:㜅暮起思乐，赴寝夜死乐,2194062851,,贴吧用户_7QUPZ65,河南
"直接叩她受不了的
小老鼠
上灯台#(哈哈)
偷吃油#(吐舌)
下不来#(泪)",6536643769,冗老师,冗老师,陕西
狗屁不通 弱质xxn给自己找借口罢了,4941062310,春日_望,春日_望,河南
我们也不支持同工同酬，因为每个人出工的素质并不一样，我们出工的成本付出并不一致，所以建议给所有女性双倍工资,5178597612,,IABVDJAK,新加坡
确实不公平啊 xxn两腿一张成百上千 男的两腿一张银镯子一带,222804670,一刀斩咬,一刀斩咬,辽宁
"鼠鼠的女朋友还主动要求aa呢，
一群啥峦xxn",1362500299,456谁说的,CarrotLee,上海
想卖直说,3477735950,钰树林峰天枰,钰树林峰天枰,江苏
"一出生就有父母帮忙买车买房,必要时再吸姐妹的血浇筑自己幸福生活的王冠,私吞姐妹彩礼后再怒骂整治彩礼",1443820372,,贴吧用户_Q1SD38X,福建
"是这样的，狗一岁等于人七岁
♀3000等于♂3w",403140175,KillerPictor,KillerPictor,广东
是劳资让你回归家庭的？,2626859057,CONAN丶AI,焕清虞,四川
我觉得她往那一躺，两腿一岔，一晚上保底四位数，谁知道她在网上露脸是为什么,6605464873,抽象的ok,抽象的ok,江苏
上桌吃饭导致的，这种东西一般我不看直接骂,17876377,yangwei428,孔圣在世☞,广东
草b付钱天经地义,461267303,电磁蚊,中非友谊地久天长❤️,北京
玛雅，我在南通打寒假工，厂里小姑娘大妈一块在流水线干活，拿的都是一样的岗位补贴和时薪，xxn其实想重点提的还是体力劳动的能力吧，她觉得xxn天生就是干轻活的吧,1423154104,無敵龍捲風,刘农1,河南
狗一岁等于人七岁,1719151455,2ez_,静定生慧,湖南
3,919964189,八度0101,无敌宝将军,山东
3,919964189,八度0101,无敌宝将军,山东
什么时候只会吃睡喝的扫珠也配谈恋爱了,6012667573,newyorkvan,newyorkvan,湖南
卖不是更轻松,6064445611,zzqDeco,丁真·砸布哆德勒,浙江
来来，给个链接，我现在感觉自己强的可怕,5546497012,流风zz白羊,流风zz白羊,陕西
既想从事服务性行业，又要树立标志性建筑。,1471333389,布吉岛哒小少年,炼狱板机◎,山东
💩不💩啊,873527918,卡西迪奥sama,卡西迪奥sss,浙江
没问题的，只要男性一直站主导地位，男女社会地位一直不会平等,4555429283,,Cloudd,湖北
我和马云在金钱的获取成本上也是不同的,2619650349,这个少年超级帅,这个少年超级帅,四川
"举黒柔两片行狗苟蝇营之事，张餐食黒冻言颠倒黑白之语
自认倾城伶俐之颜脑，真则百拙千丑之寄虫
袋无金丝纹银怨社会，实无安身立命之计谋
脑出终极幻想之画面，口流支长儿童之口水
频之除兜印勒矿肥，时无良药竖子发点
总结: 享受馈赠为应得，定义平等为特权
我们并肩看了一场烟火，夜空格外绚烂
光一闪而过，就会发现
我没有看天，你没有看我",2270976163,小吝啬234,乱星º,河北
说实话，我谈恋爱，一律都是aa，为的就是省事，不用为了钱掰扯，就少了一大摞吵架的鸡毛蒜皮事，多好。我跟前男友出去玩就是我包饭钱玩钱他包旅馆钱，俩人一人出两千块玩的爽歪歪，靠着别人给钱还得看人脸色,6563120757,内瑟喵斯,内瑟喵斯,山东
人话：乞讨,5218244782,,未闻 花名,山东
3,1120791788,龚传童,加州大床,江苏
我接受男的花的钱多一点，但最多37分，我是处对象不是扶贫。而且如果对方把这种多花钱当作理所当然，只要有一点儿类似的苗头我会立马分手。,6556148023,,贴吧用户_J5UPE4e,河南
男人付出的劳动力更多呀。,3895712504,维她命一壶茶,维她命一壶茶,浙江
不用去理解小仙女的想法。她们只需要特权。所以，反拳就行了，不要讲理，她们脑仁理解不了理。,350141049,heyB1tch,heyB1tch,广东
AA和AB二选一，情绪价值什么鬼,6391920994,SeeCikado,汤姆没有杰瑞,四川
想看到孔圣的经典语录,1164107343,soul082193,黑夜未央,北京
经济获取成本为什么不平等，男的是多个脑子还是女的少根胳膊,1622661814,Yiran嘤,不会读空气,广东
"不要物化要彩礼
不被定义",6341164010,下雨天大梦一场,醉爱红尘,黑龙江
3,2589080161,原始人7Dong,贴吧用户_7PGa9bQ,北京
**玩意，一百块就是一百块，不会因为你赚钱少就增值到两百块,1651274080,三十年如一曰,四周目的孔圣,江西
3,4966940349,摸鱼的小杨,薯薯本鼠,河北
确实不太公平，两腿一张就能轻松实现阶级跨越,6438550017,,贴吧用户_GC3Ay6Q,福建
女性早已把寄生合理化了。,700854899,无文化之国,天地同寿🔪,江苏
天才！,5055131574,灵犀互娱后期组,灵犀互娱后期组,湖南
"纯老缠
我是变态母肥控",2313165505,a54339244,奇迹行者♤,陕西
这是在找什么信徒上供吗？真当自己是神仙,98847005,游戏专业做游戏,游戏专业做游戏,广东
同工同劳≠同工同酬,6614129206,日火火子木,日火火子木,广东
3,5489600484,,贴吧用户_G5b44Ca,河北
3,3466233531,,贴吧用户_5R4VQVN,山东
人在金钱的获取成本只和个人能力与家境有关,158153084,12123434888,夏天的枕头♬,江苏
我建议她们这个群体不要谈恋爱结婚从根本上解决 我觉得我吃亏了这个问题,3275623034,qq1205917140,吾等皆死于妇人之手矣,辽宁
你不会用不等式做题？ 女生10块钱≠男生10块钱 女生10块钱≈男生1000块钱,2566182770,暗影岛的孤魂,到点了😡,广东
确实得赶紧跑，别祸害人家男生了,6330152797,你的肽键呢,20岁未解锁,浙江
3,4134791922,灿宁一,棠花梨树,江西
正常的,1453015456,麻花藤欧,白衣徐风年,浙江
拐弯抹角扯什么，直接说一晚多少钱😋,5960933591,swordnight999,swordnight999,广东
想到一篇文章《我有个P》,2922750836,达瓦里氏戒烟版,万事不求人。,上海
男人可没法往那一躺就赚钱,879013540,双子天降绅士,yukuriwood,北京
关键是还有不长脑子的去信,6606922289,电力充足啊,电力充足啊,浙江
那凭什么她一张腿就有经济来源我却不行,5268802004,六千块买3050,六千块买3050,山东
一个b真以为是印钞机啊,1517204883,vox云淡风轻,贴吧用户_QPJDPUb,湖北
固定资产随身带，走南闯北挣外快，睡完老板睡老外，投资不大见效快，两腿一夹升职快，卖过以后货还在，用水一洗接着卖，反复使用无大碍，皮不破来肉不坏，只要裤子提起来，谁说姑娘不正派！,5782374856,,无脑英雄1,湖北
关我屁事,4266564034,有红包10258,贴吧用户_5CaDJ97,河南
3,4266564034,有红包10258,贴吧用户_5CaDJ97,河南
男女生对僻的获取成本上天生就是不平等的,4530681320,,planyaº,陕西
"我想这种拿所谓“情绪价值”来换物质财富的行为，就有点类似于现在的一些聊天主播，情感主播那种感觉，就完全是把自己放在一个服务业从业人员的地位。那进一步说，如果她真的要卖自己的情绪价值，我也不反对，但是她总得把自己放在市场的自由竞争里面吧，不能在亲密关系里搞这种东西。
而且她的理论是说男的挣钱容易，挣钱多就得多给点。我的评价是她好像没搞清楚这个时代的硬通货是啥，钱不管从哪个角度看都比那个“情绪价值”要通用的多，当男的不愿意出钱的时候，她的情绪价值又准备卖给谁呢",6474162711,贴吧用户op4000,贴吧用户_JSyRE6e,江苏
我直接肘,3468909888,珍惜单身狗,牢桑,浙江
只能评价为吸血虫。,2934059062,陈苍玉,伊人何在伊人何往,四川
搞笑，我亲戚家的厂里，男女工人获得金钱的成本就是平等的，即多产多得，我一直在说，xxn总是把一些劳动女性排除在外。,675309701,熏云遮月,瑶台揽素娥,浙江
aa都不要，那我白嫖行了吧,2008948591,小智21445,小智23302,浙江
确实，♀应该多付点。,558947623,meh911bld,贴吧用户_06VQe4R,上海
乐,5801991355,奈何需要运气,奈何需要运气,上海
确实不平等。藤原拓海天天凌晨起床送豆腐赚的没夏树一晚上多,3940859228,贪玩灬型月,Meisho🐴,广东
贴吧展示预览图，第二张图一下就吸引我了。单看她第二张图，我还以为是友军。就先不说不正经职业了，前几年互联网发展的同时直播行业、虚拟现实技术也一并跟进。直播和虚拟现实一结合，女主播最大的障碍——颜值，就瞬间消失（只要不被盒出来）。其余的要求根本就不是要求，只要声音听着是个女的，流量慢慢都会找上你。本来直播，主打游戏技术的必须要时刻有游戏力，直播唱歌的必须要时刻懂音律；而现在，直播装傻整活，先拉低大家预期，再在出人意料的地方突然恢复正常就可以收获一众夸声；如果再加点热水器，带来的流量比稳定高技术的男主播大太多了。而男主播若是想靠装傻整活吸引流量，活就要整得很大，容易收获骂名不说，甚至可能把自己的生命安全搭上去。,1370717111,150亿个神经元,哇袄！！！,江苏
也就是说她觉得在同工同时情况下，女性收入生来就比男性少？这不是歧视女性？,3929850881,Sexcaliburlove,爱炮小跟班♂,黑龙江
太长了，不看,5367139698,,打铁弟子灯大豆棋谱,江苏
不是反串 我真的希望各种社交平台上 这种逆天发言多来点 随便什么博主 多发多发 直接筛选排除掉绝大部分低能 为人类的未来发展做出贡献,977971330,猛虎嗅蔷薇jf,昆山力王,上海
3,2446596612,,贴吧用户_7ADAJ6a,河南
@0731LXF 快来看逆天♀,2663896960,衣冠南渡2002,🤗🤗赢赢赢🤗,湖南
她说的是对的，但是，如何降低投入的风险呢，总不能血本无归吧。而且，不AA不意味着女方能心安理得地索取。,2592911385,朱之呐喊2,朱之呐喊2,河北
3,4175480166,张半仙870,贴吧用户_539Q21J,
这是典中典的老观点了，说实话有点跟不上版本了都,335298975,名字难取啊讨厌,Zhanq1,
欢乐豆想出来的就是不一样,3645667073,张哥学霸Messi,南方刘华强成都分强,
她这是典型的白天嘴总说β话，晚上β总吃东西，偶尔再去肛肠医院检查一下脑袋里的大肠，综上所述我国生态恢复的不错，什么物种都能容纳了,6051268369,逐洅,逐洅,
加大力度,458859788,依然非玟,出家人不打妄语,
按这个逻辑，她们应该跟富人去讲公平，而跟穷人说AA，可现实是她们都是跟富人谈感情，和穷人谈钱,19092271,PANZERSTUKA,PANZERSTUKA,
说得很好，多说点,1065158599,愿你安然无恙,贴吧用户_0Ce8QyR,
3,1359556129,扩散至周边,宝葬男骸-癌鲲,
3,5747522875,,蒲公英の约定…,
确实，她说的没错啊，能力接近，付出相同的情况下女性确实在金钱收入上有优势，应该女方多付点钱,1062063072,夯你们,夯你们,
换一个愿意接受AA制的,2599702812,MrWhite2016,贴吧用户_7PZAXA3,
搞这些，那你能不能像我家养的狗🐶一样，没事让我踹两脚，逼近狗在这个社会上拿到工资的难度更高，但没事，我养他嘛，你也一样，我养你嘛,2245456354,,贴吧用户_77DP3Z7,
双标,865257800,鹰鳩,狗中哈奇士😂,
三七开她们也不见得能接受吧,1186260095,索多玛与蛾魔拉,💢空条承太郎💢,
没本事赚钱怪男人？拉不出屎怪引力是吧,1746979393,光年希曦,贴吧用户_QX7QWWQ,
其实不该吃饭什么的，出去压马路走一圈就好这样解决矛盾了啊，非要某方多花钱是吧，aa不平等这种话都来了,787615862,我狠菜狠菜,我狠菜狠菜,
放她娘的💨，资本只看你工作赚钱的能来，凭什么你说少赚钱是因为什么性别！多捞好处的时候怎么不提自己的性别？,304296942,SylvanaswindMX,SylvanaswindMX,
男女在金钱获取成本上的确不平等，做鸡的可以卖批，躺着就有钱了，男的还得花钱,13535391,2100kk,2100kk,
女的放下身段来顶我累死累活一个月,6362349548,哇唔哦噢咔,花园花花,
男女平等，经济独立,894482315,黑钢的继承者,黑之召唤师,
确实，有些人就算是躺着也比我们赚的多,4074308938,xndnfbjxjebz,双斧fw刀哥,
我直接一句“弔你牢姆个臭嗨”,4505061066,塔利斯卡好帅,零贰02Zero,
3,4482535015,让我洋测测,让我测测洋,
3,4482535015,让我洋测测,让我测测洋,辽宁
3,4482535015,让我洋测测,让我测测洋,辽宁
3,4482535015,让我洋测测,让我测测洋,辽宁
确实不平等，干啥也没卖批来钱快,1320111528,if惊喜,if惊喜,天津
如同对彩礼的说辞，不接受不谈就是,1250167768,dfcszzz,花花不想说🍼,江西
可不是不平等吗，女的两腿一张就来钱了，男的要累死累活当牛马，所以应该女的买单,877170924,突然间啼哭,水晶焰,广西
是正确的，自然界里都是公的搭窝,832481388,大秋秋秋8,vsat01,四川
性别群体上的事情为什么要落实到我个人身上？除非群体同意出台法律我无话可说,4627810480,中国人口我来了,不甜不要你钱,河北
我也觉得男女谈恋爱不能aa男人要多承担点 但是轮不到你来教我,863671802,melancholy丶丨,melancholy丶丨,湖北
神奇的xxn啊,3349487459,张炘123,123😜😜😱😱,广东
说白了挣得少花的多,4779619404,day尼德,灌江口二郎显圣真君.,湖北
头一次见到把好吃懒做说的这么正大光明的,6456779566,苏摩OVa,苏摩Ova,上海
就怕是这种 男生有些比较辛苦的工作一天10小时还可能不止，有些女人一天干8小时上班喝茶到点下班然后说工资不平等。 不针对所有女性哦，很多女生也是很厉害的 我的领导就是女生 我很佩服他,817279315,我长的像人么_,GS球◎,浙江
《就会觉得不公平，会觉得他付出太多了》，那你也多付出点不就公平了,4121769609,8880888g,yago,河北
问问那个男的往那一躺舒舒服服就能赚大几百,6441954428,,贴吧用户_GCC6N53,广东
那么问题最后，男女平等吗？答案不会是既平等，又不平等吧？,925084913,半月小夜曲11,半月小夜曲11,四川
在职场竞争和资源掠夺上不如人那就尽快发动自己与生俱来的能力抢占先机,1442228456,one7321,htacb,广东
byd两腿一张再叫两声就直接k起步了，确实不平等,4269347463,路过的骑士233,路过的骑士233,重庆
